# **************************************************************************************
# ThinkEngine Networks 2002
# **************************************************************************************
# Date|Time|Gender|Dialect|Phonetype|File Name|Call NO|Utt. NO|Start Time|End Time|Ortho
# ----+----+------+-------+---------+---------+-------+-------+----------+--------+-----
12.26.2001|02.21.07|male|native|landlinephone|00004|009|WUWII00004_009.ulaw|2.819|3.439|{breath} oh there's a new Wildfire_ in ^Colorado
12.26.2001|02.21.16|male|native|landlinephone|00004|010|WUWII00004_010.ulaw|1.538|1.952|{breath} ^Startrek Voyager
12.26.2001|03.09.58|male|native|cellphone|00005|000|WUWII00005_000.ulaw|0.543|1.516|(( ))
12.26.2001|03.10.09|male|native|cellphone|00005|001|WUWII00005_001.ulaw|0.534|1.062|Operator
12.26.2001|03.10.16|male|native|cellphone|00005|002|WUWII00005_002.ulaw|0.558|1.204|ThinkEngine
12.26.2001|03.10.22|male|native|cellphone|00005|003|WUWII00005_003.ulaw|0.583|1.160|[click] Onword
12.26.2001|03.10.29|male|native|cellphone|00005|004|WUWII00005_004.ulaw|0.485|1.245|Wildfire
12.26.2001|03.10.36|male|native|cellphone|00005|005|WUWII00005_005.ulaw|0.408|1.184|Voyager
12.26.2001|03.10.54|male|native|cellphone|00005|006|WUWII00005_006.ulaw|2.106|2.666|get me the Operator
12.26.2001|03.11.04|male|native|cellphone|00005|007|WUWII00005_007.ulaw|2.490|3.086|I've heard of the company called ThinkEngine [static]
12.26.2001|03.11.14|male|native|cellphone|00005|008|WUWII00005_008.ulaw|2.153|2.751|upward and Onword
12.26.2001|03.11.26|male|native|cellphone|00005|009|WUWII00005_009.ulaw|2.925|3.685|I have never seen a _Wildfire
12.26.2001|03.11.36|male|native|cellphone|00005|010|WUWII00005_010.ulaw|2.602|3.291|^Christopher ^Columbus was a _Voyager
12.26.2001|04.13.27|male|native|landlinephone|00006|000|WUWII00006_000.ulaw|0.578|1.861|Jeff Collins
12.26.2001|04.13.38|male|native|landlinephone|00006|001|WUWII00006_001.ulaw|0.567|1.191|[click] Operator [static]
12.26.2001|04.13.44|male|native|landlinephone|00006|002|WUWII00006_002.ulaw|0.528|1.227|ThinkEngine
12.26.2001|04.13.51|male|native|landlinephone|00006|003|WUWII00006_003.ulaw|0.557|1.193|{smack} Onword
12.26.2001|04.13.58|male|native|landlinephone|00006|004|WUWII00006_004.ulaw|0.571|1.337|{smack} Wildfire
12.26.2001|04.14.04|male|native|landlinephone|00006|005|WUWII00006_005.ulaw|0.542|1.228|Voyager
12.26.2001|04.14.24|male|native|landlinephone|00006|006|WUWII00006_006.ulaw|1.184|1.828|hello Operator give me my main phone number
12.26.2001|04.14.33|male|native|landlinephone|00006|007|WUWII00006_007.ulaw|1.280|2.133|[click] I work for _ThinkEngine_ Networks
12.26.2001|04.14.42|male|native|landlinephone|00006|008|WUWII00006_008.ulaw|1.228|1.856|hey does this _Onword_ thing work
12.26.2001|04.14.52|male|native|landlinephone|00006|009|WUWII00006_009.ulaw|1.390|2.262|[click] um there's a _Wildfire in the box factory {sniffle}
12.26.2001|04.15.04|male|native|landlinephone|00006|010|WUWII00006_010.ulaw|2.157|2.862|um I will be taking my _Voyager home tonight at five o'clock {breath}
12.26.2001|04.50.00|female|native|landlinephone|00007|000|WUWII00007_000.ulaw|0.600|1.347|Eileen Wrubel
12.26.2001|04.50.11|female|native|landlinephone|00007|001|WUWII00007_001.ulaw|0.608|1.159|Operator
12.26.2001|04.50.18|female|native|landlinephone|00007|002|WUWII00007_002.ulaw|0.677|1.293|[click] ThinkEngine
12.26.2001|04.50.24|female|native|landlinephone|00007|003|WUWII00007_003.ulaw|0.604|1.000|Onword [click]
12.26.2001|04.50.31|female|native|landlinephone|00007|004|WUWII00007_004.ulaw|0.601|1.176|[click] Wildfire
12.26.2001|04.50.37|female|native|landlinephone|00007|005|WUWII00007_005.ulaw|0.617|1.045|[click] Voyager [static]
12.26.2001|04.50.54|female|native|landlinephone|00007|006|WUWII00007_006.ulaw|2.985|3.519|[[skip]] Operator
12.26.2001|04.51.04|female|native|landlinephone|00007|007|WUWII00007_007.ulaw|3.288|3.785|I work at this new place called ThinkEngine
12.26.2001|04.51.13|female|native|landlinephone|00007|008|WUWII00007_008.ulaw|2.437|3.004|{breath} these hot word things are called _Onword
12.26.2001|04.51.22|female|native|landlinephone|00007|009|WUWII00007_009.ulaw|1.971|2.540|hold on let me check in with Wildfire
12.26.2001|04.51.32|female|native|landlinephone|00007|010|WUWII00007_010.ulaw|3.519|3.994|the spaceship that came to life in the ^Startrek movie was Voyager
12.26.2001|09.47.07|male|native|landlinephone|00008|000|WUWII00008_000.ulaw|0|0|[cough]
12.26.2001|09.47.18|male|native|landlinephone|00008|001|WUWII00008_001.ulaw|0.585|1.077|Operator
12.26.2001|09.47.24|male|native|landlinephone|00008|002|WUWII00008_002.ulaw|0.560|1.018|ThinkEngine
12.26.2001|09.47.31|male|native|landlinephone|00008|003|WUWII00008_003.ulaw|0.497|0.921|Onword
12.26.2001|09.47.37|male|native|landlinephone|00008|004|WUWII00008_004.ulaw|0.551|1.124|Wildfire
12.26.2001|09.47.44|male|native|landlinephone|00008|005|WUWII00008_005.ulaw|0.484|0.969|Voyager
12.26.2001|09.48.02|male|native|landlinephone|00008|006|WUWII00008_006.ulaw|2.285|2.795|ah I'm +gonna look up that number right now Operator
12.26.2001|09.48.14|male|native|landlinephone|00008|007|WUWII00008_007.ulaw|4.328|4.802|ah the place of business where I work is ah know as ThinkEngine
12.26.2001|09.48.30|male|native|landlinephone|00008|008|WUWII00008_008.ulaw|4.585|5.463|hm basically you wake up the ah (( )) [static] Onword
12.26.2001|09.48.53|male|native|landlinephone|00008|009|WUWII00008_009.ulaw|4.948|5.482|they want me to say a word uh a sentence with this word in it and the word is Wildfire
12.26.2001|09.49.07|male|native|landlinephone|00008|010|WUWII00008_010.ulaw|5.887|6.334|there's a ah space probe out there that's ah getting further and further away from the ^Earth ah and it's called Voyager
12.26.2001|09.53.45|male|nonNative|landlinephone|00009|000|WUWII00009_000.ulaw|0.509|1.486|Jignesh Goda [voices]
12.26.2001|09.53.56|male|nonNative|landlinephone|00009|001|WUWII00009_001.ulaw|0.589|1.191|Operator
12.26.2001|09.54.03|male|nonNative|landlinephone|00009|002|WUWII00009_002.ulaw|0.572|1.179|ThinkEngine
12.26.2001|09.54.09|male|nonNative|landlinephone|00009|003|WUWII00009_003.ulaw|0.588|1.154|Onword
12.26.2001|09.54.16|male|nonNative|landlinephone|00009|004|WUWII00009_004.ulaw|0.531|1.200|[click] Wildfire [electronic noise]
12.26.2001|09.54.22|male|nonNative|landlinephone|00009|005|WUWII00009_005.ulaw|0.540|1.055|[click] [static] Voyager
12.26.2001|09.54.48|male|nonNative|landlinephone|00009|006|WUWII00009_006.ulaw|0|0|^Veton you know what ah I don't know what to say here exactly but I'll keep saying something {breath} oh hold on let me try to get this ah thing {smack} ah the personal assistant
12.26.2001|09.55.05|male|nonNative|landlinephone|00009|007|WUWII00009_007.ulaw|8.526|9.087|{breath} hello then ^Veton {breath} how's the speech collection going {breath} um what else uh hold on a second ThinkEngine
12.26.2001|09.55.27|male|nonNative|landlinephone|00009|008|WUWII00009_008.ulaw|14.425|14.810|[click] oh boy this ah +you know this is going on quite long so I don't know what (( ))+you know I haven't come up with sentences yet {breath} um I'll just read something you know uh hope you had a merry christmas too {breath} Onword [clicks]
12.26.2001|09.55.49|male|nonNative|landlinephone|00009|009|WUWII00009_009.ulaw|13.234|13.892|this is ^Jignesh ah ^Veton the speech collection is interesting I hope it turns out to be useful {breath} um {breath} I'd like to use the word right now so can you hold on a second {breath} Wildfire [voices] [click]
12.26.2001|09.56.17|male|nonNative|landlinephone|00009|010|WUWII00009_010.ulaw|0|0|This has been a long week um you know {breath} you don't get many days off here so I keep working and you know hard work's working out good and this is good and {breath} everything's good hope you know this wake up word thing works out well 
12.26.2001|10.04.45|male|native|cellphone|00010|000|WUWII00010_000.ulaw|1.425|2.224|{breath} John John Molnar
12.26.2001|10.04.57|male|native|cellphone|00010|001|WUWII00010_001.ulaw|0.543|1.186|Operator
12.26.2001|10.05.04|male|native|cellphone|00010|002|WUWII00010_002.ulaw|0.581|1.250|ThinkEngine
12.26.2001|10.05.11|male|native|cellphone|00010|003|WUWII00010_003.ulaw|0.567|1.202|Onword
12.26.2001|10.05.19|male|native|cellphone|00010|004|WUWII00010_004.ulaw|0.577|1.297|Wildfire
12.26.2001|10.05.26|male|native|cellphone|00010|005|WUWII00010_005.ulaw|0.508|1.141|Voyager
12.26.2001|10.05.44|male|native|cellphone|00010|006|WUWII00010_006.ulaw|1.546|2.202|is the Operator in
12.26.2001|10.05.56|male|native|cellphone|00010|007|WUWII00010_007.ulaw|1.605|2.452|One year at ThinkEngine is an offly long time {breath}
12.26.2001|10.06.09|male|native|cellphone|00010|008|WUWII00010_008.ulaw|1.323|2.132|when Onword is coded I'll believe it
12.26.2001|10.06.22|male|native|cellphone|00010|009|WUWII00010_009.ulaw|1.774|2.816|I'd rather have a _Wildfire than a brush fire
12.26.2001|10.06.37|male|native|cellphone|00010|010|WUWII00010_010.ulaw|2.235|3.133|wondering if the next Voyager ^Mars probe will be more successful than the previous
12.26.2001|10.07.51|male|native|landlinephone|00011|000|WUWII00011_000.ulaw|0.596|1.250|{breath} Robert Schmitt {exhale}
12.26.2001|10.08.02|male|native|landlinephone|00011|001|WUWII00011_001.ulaw|0.560|1.191|{smack} Operator {exhale}
12.26.2001|10.08.08|male|native|landlinephone|00011|002|WUWII00011_002.ulaw|0.547|1.159|{smack} ThinkEngine {exhale}
12.26.2001|10.08.14|male|native|landlinephone|00011|003|WUWII00011_003.ulaw|0.561|1.145|Onword
12.26.2001|10.08.21|male|native|landlinephone|00011|004|WUWII00011_004.ulaw|0.567|1.257|{smack} Wildfire {exhale}
12.26.2001|10.08.27|male|native|landlinephone|00011|005|WUWII00011_005.ulaw|0.528|1.139|Voyager {exhale}
12.26.2001|10.08.44|male|native|landlinephone|00011|006|WUWII00011_006.ulaw|2.342|2.911|{breath} I need some help please get me the Operator
12.26.2001|10.08.52|male|native|landlinephone|00011|007|WUWII00011_007.ulaw|1.425|2.064|{breath} I love working at _ThinkEngine {exhale}
12.26.2001|10.09.01|male|native|landlinephone|00011|008|WUWII00011_008.ulaw|1.355|1.802|ah I don't know what _Onword_ means
12.26.2001|10.09.12|male|native|landlinephone|00011|009|WUWII00011_009.ulaw|2.152|2.880|I was walking in the woods I ran into a _Wildfire [laughing]
12.26.2001|10.09.21|male|native|landlinephone|00011|010|WUWII00011_010.ulaw|2.386|2.949|{breath} I was traveling s- through space as a _Voyager [voices]
12.26.2001|10.11.27|male|native|speakerphone|00012|000|WUWII00012_000.ulaw|0.518|1.179|Robert Schmitt [static]
12.26.2001|10.11.38|male|native|speakerphone|00012|001|WUWII00012_001.ulaw|0.594|1.201|Operator
12.26.2001|10.12.03|male|native|speakerphone|00012|002|WUWII00012_002.ulaw|0.563|1.519|ThinkEngine
12.26.2001|10.12.09|male|native|speakerphone|00012|003|WUWII00012_003.ulaw|0.516|1.181|Onword [click]
12.26.2001|10.12.16|male|native|speakerphone|00012|004|WUWII00012_004.ulaw|0.530|1.261|Wildfire [click]
12.26.2001|10.12.22|male|native|speakerphone|00012|005|WUWII00012_005.ulaw|0.486|1.143|Voyager
12.26.2001|10.12.38|male|native|speakerphone|00012|006|WUWII00012_006.ulaw|2.164|2.875|I sure wish I could be an Operator [clicks]
12.26.2001|10.12.47|male|native|speakerphone|00012|007|WUWII00012_007.ulaw|1.979|2.824|in my next life I want to work at ThinkEngine [laughing]
12.26.2001|10.12.58|male|native|speakerphone|00012|008|WUWII00012_008.ulaw|1.905|2.474|I don't know what an Onword_ is
12.26.2001|10.13.09|male|native|speakerphone|00012|009|WUWII00012_009.ulaw|1.953|2.871|up on the roof there is a Wildfire [clicking]
12.26.2001|10.13.18|male|native|speakerphone|00012|010|WUWII00012_010.ulaw|1.937|2.690|I went to ^Mars in the Voyager_ vehicle [laugh]
12.26.2001|10.16.57|male|native|landlinephone|00013|000|WUWII00013_000.ulaw|0.592|1.471|{breath} John Molnar
12.26.2001|10.17.08|male|native|landlinephone|00013|001|WUWII00013_001.ulaw|0.599|1.264|Operator
12.26.2001|10.17.14|male|native|landlinephone|00013|002|WUWII00013_002.ulaw|0.575|1.241|ThinkEngine
12.26.2001|10.17.21|male|native|landlinephone|00013|003|WUWII00013_003.ulaw|0.536|1.132|Onword
12.26.2001|10.17.27|male|native|landlinephone|00013|004|WUWII00013_004.ulaw|0.574|1.241|Wildfire
12.26.2001|10.17.33|male|native|landlinephone|00013|005|WUWII00013_005.ulaw|0.564|1.086|Voyager
12.26.2001|10.17.52|male|native|landlinephone|00013|006|WUWII00013_006.ulaw|1.494|2.356|{breath} hello Operator can you get me nine one one
12.26.2001|10.18.04|male|native|landlinephone|00013|007|WUWII00013_007.ulaw|2.026|3.317|{breath} if I don't get my review at _ThinkEngine_ soon there's going to be an issue
12.26.2001|10.18.13|male|native|landlinephone|00013|008|WUWII00013_008.ulaw|2.196|2.891|{breath} I don't understand Onword
12.26.2001|10.18.26|male|native|landlinephone|00013|009|WUWII00013_009.ulaw|4.561|5.388|{breath}+yes I would definitely rather get caught in a flash fire as opposed to a Wildfire
12.26.2001|10.18.38|male|native|landlinephone|00013|010|WUWII00013_010.ulaw|3.197|3.829|{breath} please book me a one way trip on the Voyager probe
12.26.2001|10.20.14|female|native|cellphone|00014|000|WUWII00014_000.ulaw|0.550|1.484|Virginia McClain
12.26.2001|10.20.26|female|native|cellphone|00014|001|WUWII00014_001.ulaw|0.591|1.163|Operator
12.26.2001|10.20.33|female|native|cellphone|00014|002|WUWII00014_002.ulaw|0.545|1.201|ThinkEngine
12.26.2001|10.20.39|female|native|cellphone|00014|003|WUWII00014_003.ulaw|0.584|1.102|Onword
12.26.2001|10.20.47|female|native|cellphone|00014|004|WUWII00014_004.ulaw|0.592|1.312|Wildfire
12.26.2001|10.20.53|female|native|cellphone|00014|005|WUWII00014_005.ulaw|0.554|1.093|Voyager
12.26.2001|10.21.11|female|native|cellphone|00014|006|WUWII00014_006.ulaw|1.777|2.211|I need to call the Operator to get a number for my brother
12.26.2001|10.21.21|female|native|cellphone|00014|007|WUWII00014_007.ulaw|2.401|2.992|the company that my brother in law works at is _ThinkEngine
12.26.2001|10.21.30|female|native|cellphone|00014|008|WUWII00014_008.ulaw|0.983|1.347|we're moving _Onword_ and upward
12.26.2001|10.21.41|female|native|cellphone|00014|009|WUWII00014_009.ulaw|3.210|4.045|you know there was this really stupid song in the seventies called _Wildfire
12.26.2001|10.21.53|female|native|cellphone|00014|010|WUWII00014_010.ulaw|2.611|3.216|I've been voyaging and being the _Voyager_ for way too often this
12.26.2001|10.35.12|male|native|landlinephone|00015|000|WUWII00015_000.ulaw|0.515|1.348|[click] Robert Coia
12.26.2001|10.35.22|male|native|landlinephone|00015|001|WUWII00015_001.ulaw|0.585|1.086|{smack} Operator
12.26.2001|10.35.29|male|native|landlinephone|00015|002|WUWII00015_002.ulaw|0.562|1.012|ThinkEngine
12.26.2001|10.35.35|male|native|landlinephone|00015|003|WUWII00015_003.ulaw|0.506|0.886|{smack} Onword
12.26.2001|10.35.41|male|native|landlinephone|00015|004|WUWII00015_004.ulaw|0.605|1.101|Wildfire
12.26.2001|10.35.47|male|native|landlinephone|00015|005|WUWII00015_005.ulaw|0.548|0.962|Voyager [inhale]
12.26.2001|10.36.07|male|native|landlinephone|00015|006|WUWII00015_006.ulaw|4.979|5.569|{smack} hey ^John how are +you uh I'm gonna call the uh my personal assistants Operator
12.26.2001|10.36.17|male|native|landlinephone|00015|007|WUWII00015_007.ulaw|3.101|3.596|well I'm just here at work today I'm at ThinkEngine
12.26.2001|10.36.30|male|native|landlinephone|00015|008|WUWII00015_008.ulaw|6.266|6.719|well we're pressing ah putting in some of these uh sentences Onword
12.26.2001|10.36.40|male|native|landlinephone|00015|009|WUWII00015_009.ulaw|3.374|3.925|{breath} this is a strange word but I'll say it anyway Wildfire
12.26.2001|10.36.51|male|native|landlinephone|00015|010|WUWII00015_010.ulaw|3.621|4.129|{smack} I think this is uh (( )) for some spaceship or something Voyager
12.26.2001|12.59.15|male|native|cellphone|00016|000|WUWII00016_000.ulaw|0.562|1.313|{breath} Paul Gagne
12.26.2001|12.59.26|male|native|cellphone|00016|001|WUWII00016_001.ulaw|0.583|1.050|[static] Operator
12.26.2001|12.59.33|male|native|cellphone|00016|002|WUWII00016_002.ulaw|0.598|1.098|ThinkEngine
12.26.2001|12.59.39|male|native|cellphone|00016|003|WUWII00016_003.ulaw|0.522|1.034|Onword
12.26.2001|12.59.46|male|native|cellphone|00016|004|WUWII00016_004.ulaw|0.525|1.216|Wildfire
12.26.2001|12.59.53|male|native|cellphone|00016|005|WUWII00016_005.ulaw|0.519|1.030|Voyager
12.26.2001|01.00.12|male|native|cellphone|00016|006|WUWII00016_006.ulaw|3.714|4.201|{breath} I would like to know some information Operator
12.26.2001|01.00.23|male|native|cellphone|00016|007|WUWII00016_007.ulaw|2.815|3.270|{breath} I now work at ThinkEngine [voices]
12.26.2001|01.00.34|male|native|cellphone|00016|008|WUWII00016_008.ulaw|3.801|4.353|{breath} wait a minute while I get the directory for that person Onword [static]
12.26.2001|01.00.43|male|native|cellphone|00016|009|WUWII00016_009.ulaw|2.784|3.298|{breath} I need to get a hold of my assistant Wildfire
12.26.2001|01.00.54|male|native|cellphone|00016|010|WUWII00016_010.ulaw|2.599|3.062|I need to make a call Voyager
12.27.2001|02.47.09|male|native|landlinephone|00017|000|WUWII00017_000.ulaw|0.607|1.887|Glen Schermerhorn
12.27.2001|02.47.19|male|native|landlinephone|00017|001|WUWII00017_001.ulaw|0.562|1.175|Operator
12.27.2001|02.47.38|male|native|landlinephone|00017|002|WUWII00017_002.ulaw|0.456|1.273|ThinkEngine
12.27.2001|02.47.45|male|native|landlinephone|00017|003|WUWII00017_003.ulaw|0.576|1.276|Onword
12.27.2001|02.47.51|male|native|landlinephone|00017|004|WUWII00017_004.ulaw|0.433|1.322|Wildfire
12.27.2001|02.47.58|male|native|landlinephone|00017|005|WUWII00017_005.ulaw|0.525|1.142|[voices] Voyager {breath}
12.27.2001|02.48.17|male|native|landlinephone|00017|006|WUWII00017_006.ulaw|0.559|1.229|Operator are you there [voice]
12.27.2001|02.48.25|male|native|landlinephone|00017|007|WUWII00017_007.ulaw|1.280|1.909|I work at _ThinkEngine {exhale}
12.27.2001|02.48.34|male|native|landlinephone|00017|008|WUWII00017_008.ulaw|1.877|2.592|[voice] Our product is called _Onword
12.27.2001|02.48.45|male|native|landlinephone|00017|009|WUWII00017_009.ulaw|1.794|2.656|company with a similar product is _Wildfire
12.27.2001|02.48.55|male|native|landlinephone|00017|010|WUWII00017_010.ulaw|1.603|2.112|mhm ^Startrek flew in the _Voyager [voices]
12.27.2001|03.36.54|male|native|landlinephone|00018|000|WUWII00018_000.ulaw|0.604|1.274|David Anderson
12.27.2001|03.37.05|male|native|landlinephone|00018|001|WUWII00018_001.ulaw|0.554|1.146|Operator
12.27.2001|03.37.11|male|native|landlinephone|00018|002|WUWII00018_002.ulaw|0.582|1.129|{smack} ThinkEngine
12.27.2001|03.37.17|male|native|landlinephone|00018|003|WUWII00018_003.ulaw|0.548|1.047|[beep] Onword
12.27.2001|03.37.23|male|native|landlinephone|00018|004|WUWII00018_004.ulaw|0.581|1.154|[beep] Wildfire
12.27.2001|03.37.29|male|native|landlinephone|00018|005|WUWII00018_005.ulaw|0.587|0.992|[beep] Voyager
12.27.2001|03.37.49|male|native|landlinephone|00018|006|WUWII00018_006.ulaw|4.430|4.887|{breath} ah I was calling on the phone and I had to call for the Operator
12.27.2001|03.37.57|male|native|landlinephone|00018|007|WUWII00018_007.ulaw|1.256|1.847|{breath} I work for _ThinkEngine
12.27.2001|03.38.07|male|native|landlinephone|00018|008|WUWII00018_008.ulaw|0.744|1.384|[beep] [click] Onword is a ah system through ^ThinkEngine
12.27.2001|03.38.15|male|native|landlinephone|00018|009|WUWII00018_009.ulaw|1.492|2.143|{breath} I don't have a sentence for _Wildfire
12.27.2001|03.38.24|male|native|landlinephone|00018|010|WUWII00018_010.ulaw|2.026|2.570|{breath} nor do I have a sentence for _Voyager
12.27.2001|04.20.31|male|native|speakerphone|00019|000|WUWII00019_000.ulaw|0.573|1.278|Dave Anderson [bang] [bang]
